Facility Id;FRS Id;Facility Name;City;State;Zip Code;Address;County;Latitude;Longitude;Primary NAICS Code;Industry Type (subparts);Industry Type (sectors);Total reported direct emissions;CO2 emissions (non-biogenic) ;Methane (CH4) emissions ;Nitrous Oxide (N2O) emissions ;Biogenic CO2 emissions (metric tons);Stationary Combustion;Electricity Generation;Glass Production;Municipal Landfills;Industrial Wastewater Treatment
1003854;110001388640;Clayton County SR 3 Lovejoy Landfill;Lovejoy;GA;30250;11678 Hastings Bridge Road;CLAYTON COUNTY;33.44;-84.31;562212;C,HH;Waste;52162.594;;52,154.25;8.34;2,323.70;11.84;;;52,150.75;
1003863;110043803248;Columbus Pine Grove MSWLF;Columbus;GA;31907;7160 Scacerdote Lane;MUSCOGEE COUNTY;32.50;-84.86;562212;HH;Waste;87806;;87,806.00;;;;;;87,806.00;
1009669;110055517481;Crisp County Landfill;Cordele;GA;31015;3354 South Hwy 41 ;CRISP;31.96;-83.78;562212;HH;Waste;53527.5;;53,527.50;;;;;;53,527.50;
1002863;110001427288;DALTON WHITFIELD REGIONAL SW MANAGEMENT;DALTON;GA;30721;4189 OLD DIXIE HWY SE;WHITFIELD COUNTY;34.65;-84.96;562212;HH;Waste;129052.5;;129,052.50;;;;;;129,052.50;
1003740;110038104164;DEANS BRIDGE RD MSW LANDFILL;BLYTHE;GA;30805;4330 DEANS BRIDGE RD;RICHMOND;33.35;-82.14;562212;HH;Waste;245164;;245,164.00;;;;;;245,164.00;
1006428;110000359521;DSM CHEMICALS NORTH AMERICA INCORPORATED;AUGUSTA;GA;30903;1 COLUMBIA NITROGEN ROAD;RICHMOND COUNTY;33.44;-81.93;325199;C;Chemicals;27965.896;27,937.40;13.00;15.50;;27,965.90;;;;
1001147;110020517378;Dahlberg (Jackson County);NICHOLSON;GA;30565;585 JARRETT ROAD;Jackson;34.04;-83.40;221112;C,D;Power Plants;227192.66;226,962.50;105.00;125.16;;998.30;226,194.36;;;
1013117;;Darling Ingredients Inc.;East DUBLIN;GA;31027;508 Highway 80 East;;32.58;-82.80;311613;C,II;Other,Waste;26129.256;25,038.50;1,076.75;14.01;;25,064.26;;;;1,065.00
1011663;110063745069;Decatur County Solid Waste Facility;Attapulgus;GA;39815;104 Mine Loop Road;DECATUR COUNTY;30.71;-84.41;562212;HH;Waste;61350;;61,350.00;;;;;;61,350.00;
1005211;110043808564;Delta Air Lines Inc.- Atlanta Operations;Atlanta;GA;30354;1020 Delta Blvd;FULTON;33.66;-84.42;481111;C;Other;41528.42;41,461.70;25.00;41.72;;41,528.42;;;;
1003887;110034141051;Dougherty County - Fleming/Gaissert Rd Landfill;Albany;GA;31705;900 Gaissert Road;DOUGHERTY COUNTY;31.54;-84.02;562212;HH;Waste;109929.5;;109,929.50;;;;;;109,929.50;
1005702;110005719801;Doyle Energy Facility;MONROE;GA;30656;1318 GRATIS ROAD;Walton;33.84;-83.70;221112;C,D;Power Plants;28929.292;28,899.70;13.50;16.09;;206.90;28,722.39;;;
1003710;110014327905;EAGLE POINT LANDFILL, LLC;BALL GROUND;GA;30107;8880 OLD FEDERAL RD;FORSYTH COUNTY;34.32;-84.25;562212;HH;Waste;498204.75;;498,204.75;;;;;;498,204.75;
1011007;110057067338;EEC Station 5412 Hartwell, GA;Elberton;GA;30643;181 Turner Road;HART COUNTY;34.29;-82.81;486210;C,W-NGTC;Petroleum and Natural Gas Systems;84344.888;82,653.90;1,644.50;46.49;;82,737.49;;;;
1006236;110043815627;EMORY UNIVERSITY;ATLANTA;GA;30322;100 Water Tower Place;DEKALB;33.80;-84.33;611310;C;Other;50731.054;50,677.60;24.25;29.20;;50,731.05;;;;
1004256;110018863023;ETC of Georgia, LLC - Grady Road Landfill;Rockmart;GA;30153;316 Grady Road;POLK COUNTY;34.00;-85.17;562212;HH;Waste;107220.25;;107,220.25;;;;;;107,220.25;
